,stationCode,station_id,num_bikes_available,numBikesAvailable,num_bikes_available_types,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,mechanical,ebike
280,31010,129151834,0,0,"[{'mechanical': 0}, {'ebike': 0}]",40,40,1,1,1,1669293470,0,0
281,5006,237041013,0,0,"[{'mechanical': 0}, {'ebike': 0}]",19,19,1,0,0,1528267334,0,0
282,19008,213694069,2,2,"[{'mechanical': 0}, {'ebike': 2}]",23,23,1,1,1,1669293675,0,2
283,92008,653200142,37,37,"[{'mechanical': 15}, {'ebike': 22}]",1,1,1,1,1,1669293631,15,22
284,41402,650091839,24,24,"[{'mechanical': 23}, {'ebike': 1}]",1,1,1,1,1,1669293720,23,1
285,43003,362869414,18,18,"[{'mechanical': 18}, {'ebike': 0}]",8,8,1,1,1,1669293739,18,0
286,11004,55664548,26,26,"[{'mechanical': 19}, {'ebike': 7}]",4,4,1,1,1,1669293738,19,7
287,7005,100859941,35,35,"[{'mechanical': 32}, {'ebike': 3}]",15,15,1,1,1,1669293740,32,3
288,11036,49368561,3,3,"[{'mechanical': 3}, {'ebike': 0}]",46,46,1,1,1,1669293691,3,0
289,18012,42743053,2,2,"[{'mechanical': 0}, {'ebike': 2}]",31,31,1,1,1,1669293655,0,2
290,12009,49859500,9,9,"[{'mechanical': 7}, {'ebike': 2}]",7,7,1,1,1,1669293725,7,2
291,19125,213699913,4,4,"[{'mechanical': 2}, {'ebike': 2}]",26,26,1,1,1,1669293701,2,2
292,14036,101740379,4,4,"[{'mechanical': 1}, {'ebike': 3}]",40,40,1,1,1,1669293735,1,3
293,18201,4329844165,4,4,"[{'mechanical': 3}, {'ebike': 1}]",28,28,1,1,1,1669293681,3,1
294,9021,468843711,1,1,"[{'mechanical': 1}, {'ebike': 0}]",20,20,1,1,1,1669293686,1,0
295,23009,378626842,15,15,"[{'mechanical': 6}, {'ebike': 9}]",33,33,1,1,1,1669293727,6,9
296,12027,27414945,5,5,"[{'mechanical': 2}, {'ebike': 3}]",10,10,1,1,1,1669293643,2,3
